mesec,tip,st_vseh,st_dizel,st_dizel_hev,st_bencin,st_bencin_hev,st_skupaj_hev,st_bev,st_drugo,st_elektrificiranih
2018-06,avtobus,17,17,0,0,0,0,0,0,0
2018-06,osebni avtomobil,10509,4964,10,5317,146,156,39,33,195
2018-06,tovorno vozilo,1217,1146,0,66,0,0,0,5,0
2018-06,traktor,335,305,0,29,0,0,1,0,0
2018-06,vlečno vozilo,303,302,0,0,0,0,0,1,0
2018-07,avtobus,5,5,0,0,0,0,0,0,0
2018-07,osebni avtomobil,9534,4913,12,4403,143,155,42,21,197
2018-07,tovorno vozilo,1198,1095,1,95,0,1,2,5,3
2018-07,traktor,330,303,0,27,0,0,0,0,0
2018-07,vlečno vozilo,227,224,0,0,0,0,0,3,0
2018-08,avtobus,27,26,1,0,0,1,0,0,1
2018-08,osebni avtomobil,8609,4288,22,4045,212,234,25,17,259
2018-08,tovorno vozilo,1066,1015,0,50,0,0,0,1,0
2018-08,traktor,248,224,1,23,0,1,0,0,1
2018-08,vlečno vozilo,183,183,0,0,0,0,0,0,0
2018-09,avtobus,24,18,0,0,0,0,0,6,0
2018-09,osebni avtomobil,7835,4249,10,3390,117,127,52,17,179
2018-09,tovorno vozilo,1185,1152,0,17,0,0,16,0,16
2018-09,traktor,267,251,0,16,0,0,0,0,0
2018-09,vlečno vozilo,292,292,0,0,0,0,0,0,0
2018-10,avtobus,34,34,0,0,0,0,0,0,0
2018-10,osebni avtomobil,8874,4658,19,3905,171,190,105,16,295
2018-10,tovorno vozilo,1348,1243,0,98,0,0,6,1,6
2018-10,traktor,288,258,0,30,0,0,0,0,0
2018-10,vlečno vozilo,343,342,1,0,0,1,0,0,1
2018-11,avtobus,15,15,0,0,0,0,0,0,0
2018-11,osebni avtomobil,7949,3890,19,3842,133,152,37,28,188
2018-11,tovorno vozilo,1327,1219,0,105,0,0,0,3,0
2018-11,traktor,249,233,0,16,0,0,0,0,0
2018-11,vlečno vozilo,303,303,0,0,0,0,0,0,0
2018-12,avtobus,16,15,0,0,0,0,1,0,1
2018-12,osebni avtomobil,5971,3138,14,2689,79,94,41,10,135
2018-12,tovorno vozilo,1156,1091,0,59,0,0,1,5,1
2018-12,traktor,219,203,0,16,0,0,0,0,0
2018-12,vlečno vozilo,199,199,0,0,0,0,0,0,0
2019-01,avtobus,18,8,0,0,0,0,0,10,0
2019-01,osebni avtomobil,9500,4669,28,4589,150,179,44,20,222
2019-01,tovorno vozilo,1473,1381,0,84,0,0,2,6,2
2019-01,traktor,252,222,1,29,0,1,0,0,1
2019-01,vlečno vozilo,447,447,0,0,0,0,0,0,0
2019-02,avtobus,9,9,0,0,0,0,0,0,0
2019-02,osebni avtomobil,8794,4177,17,4373,153,170,55,19,225
2019-02,tovorno vozilo,1391,1312,0,63,0,0,4,12,4
2019-02,traktor,273,248,0,25,0,0,0,0,0
2019-02,vlečno vozilo,249,247,0,0,0,0,0,2,0
2019-03,avtobus,23,23,0,0,0,0,0,0,0
2019-03,osebni avtomobil,10590,5108,30,5128,185,215,113,26,328
2019-03,tovorno vozilo,1433,1376,0,47,0,0,1,9,1
2019-03,traktor,461,433,0,28,0,0,0,0,0
2019-03,vlečno vozilo,262,261,0,0,0,0,0,1,0
2019-04,avtobus,17,17,0,0,0,0,0,0,0
2019-04,osebni avtomobil,9498,4981,35,4196,189,224,74,23,298
2019-04,tovorno vozilo,1135,1063,0,59,0,0,3,10,3
2019-04,traktor,569,521,0,48,0,0,0,0,0
2019-04,vlečno vozilo,200,199,0,0,0,0,0,1,0
2019-05,avtobus,46,46,0,0,0,0,0,0,0
2019-05,osebni avtomobil,10536,5129,29,5074,236,265,42,26,307
2019-05,tovorno vozilo,1219,1174,0,38,0,0,2,5,2
2019-05,traktor,434,394,0,40,0,0,0,0,0
2019-05,vlečno vozilo,294,294,0,0,0,0,0,0,0
2019-06,avtobus,16,16,0,0,0,0,0,0,0
2019-06,osebni avtomobil,9889,4571,23,4947,249,272,78,21,350
2019-06,tovorno vozilo,1105,1062,1,33,0,1,1,8,2
2019-06,traktor,378,320,0,57,0,0,1,0,0
2019-06,vlečno vozilo,294,293,0,0,0,0,0,1,0
2019-07,avtobus,13,13,0,0,0,0,0,0,0
2019-07,osebni avtomobil,9183,4533,33,4334,204,237,46,33,283
2019-07,tovorno vozilo,1174,1099,0,64,0,0,4,7,4
2019-07,traktor,261,233,0,28,0,0,0,0,0
2019-07,vlečno vozilo,159,159,0,0,0,0,0,0,0
2019-08,avtobus,45,26,0,0,0,0,2,17,2
2019-08,osebni avtomobil,7758,3967,18,3508,214,232,39,12,271
2019-08,tovorno vozilo,837,781,0,47,0,0,1,8,1
2019-08,traktor,197,178,0,19,0,0,0,0,0
2019-08,vlečno vozilo,147,147,0,0,0,0,0,0,0
2019-09,avtobus,47,45,0,0,0,0,2,0,2
2019-09,osebni avtomobil,7944,3774,35,3847,204,239,66,18,305
2019-09,tovorno vozilo,1029,949,0,74,0,0,1,5,1
2019-09,traktor,271,229,1,40,0,1,1,0,2
2019-09,vlečno vozilo,235,234,0,0,0,0,0,1,0
2019-10,avtobus,23,22,0,0,0,0,1,0,1
2019-10,osebni avtomobil,9101,4408,45,4322,196,241,116,14,357
2019-10,tovorno vozilo,1264,1207,0,47,0,0,3,7,3
2019-10,traktor,277,246,0,30,0,0,0,1,0
2019-10,vlečno vozilo,212,211,0,0,0,0,0,1,0
2019-11,avtobus,16,16,0,0,0,0,0,0,0
2019-11,osebni avtomobil,8079,4056,46,3702,180,226,85,10,311
2019-11,tovorno vozilo,1399,1216,0,167,0,0,15,1,15
2019-11,traktor,243,226,0,17,0,0,0,0,0
2019-11,vlečno vozilo,255,255,0,0,0,0,0,0,0
2019-12,avtobus,9,9,0,0,0,0,0,0,0
2019-12,osebni avtomobil,7082,3812,30,3051,141,171,27,21,198
2019-12,tovorno vozilo,1066,964,0,94,0,0,8,0,8
2019-12,traktor,267,256,0,11,0,0,0,0,0
2019-12,vlečno vozilo,155,155,0,0,0,0,0,0,0
2020-01,avtobus,17,17,0,0,0,0,0,0,0
2020-01,osebni avtomobil,9097,4590,62,4086,225,287,124,10,411
2020-01,tovorno vozilo,1318,1285,3,25,0,3,4,1,7
2020-01,traktor,219,191,0,28,0,0,0,0,0
2020-01,vlečno vozilo,261,260,0,0,0,0,0,1,0
2020-02,avtobus,10,10,0,0,0,0,0,0,0
2020-02,osebni avtomobil,8469,4343,49,3654,233,282,179,11,461
2020-02,tovorno vozilo,944,927,0,12,0,0,2,3,1
2020-02,traktor,259,238,0,21,0,0,0,0,0
2020-02,vlečno vozilo,231,230,0,0,0,0,0,1,0
2020-03,avtobus,5,5,0,0,0,0,0,0,0
2020-03,osebni avtomobil,4228,2201,28,1729,151,179,113,6,291
2020-03,tovorno vozilo,536,530,0,6,0,0,0,0,0
2020-03,traktor,190,182,0,8,0,0,0,0,0
2020-03,vlečno vozilo,113,113,0,0,0,0,0,0,0
2020-04,osebni avtomobil,2946,1586,19,1182,73,92,83,3,175
2020-04,tovorno vozilo,435,427,0,7,1,1,0,0,1
2020-04,traktor,261,226,0,35,0,0,0,0,0
2020-04,vlečno vozilo,69,69,0,0,0,0,0,0,0
2020-05,avtobus,5,5,0,0,0,0,0,0,0
2020-05,osebni avtomobil,7723,3975,60,3354,176,236,117,41,351
2020-05,tovorno vozilo,845,827,0,14,0,0,0,4,0
2020-05,traktor,562,504,0,58,0,0,0,0,0
2020-05,vlečno vozilo,118,116,0,0,0,0,0,2,0
2020-06,avtobus,4,4,0,0,0,0,0,0,0
2020-06,osebni avtomobil,9507,4571,79,4461,231,310,151,14,461
2020-06,tovorno vozilo,907,881,0,12,1,1,9,4,10
2020-06,traktor,381,320,0,60,0,0,1,0,0
2020-06,vlečno vozilo,169,164,0,0,0,0,0,5,0
2020-07,avtobus,6,4,0,0,0,0,2,0,2
2020-07,osebni avtomobil,9684,4871,92,4262,273,365,159,27,519
2020-07,tovorno vozilo,878,852,0,24,0,0,1,1,1
2020-07,traktor,277,236,0,41,0,0,0,0,0
2020-07,vlečno vozilo,146,143,0,0,0,0,0,3,0
2020-08,avtobus,4,3,0,0,0,0,1,0,1
2020-08,osebni avtomobil,7004,3706,48,2962,181,229,86,21,311
2020-08,tovorno vozilo,791,777,0,13,0,0,0,1,0
2020-08,traktor,225,202,0,23,0,0,0,0,0
2020-08,vlečno vozilo,144,141,0,0,0,0,0,3,0
2020-09,avtobus,12,12,0,0,0,0,0,0,0
2020-09,osebni avtomobil,7208,3759,92,2891,259,351,176,31,524
2020-09,tovorno vozilo,989,947,6,26,2,8,3,5,11
2020-09,traktor,282,243,0,39,0,0,0,0,0
2020-09,vlečno vozilo,206,206,0,0,0,0,0,0,0
2020-10,avtobus,11,11,0,0,0,0,0,0,0
2020-10,osebni avtomobil,7179,3562,101,2915,342,443,218,41,658
2020-10,tovorno vozilo,1074,1056,2,10,0,2,3,3,5
2020-10,traktor,269,240,0,29,0,0,0,0,0
2020-10,vlečno vozilo,212,210,0,0,0,0,0,2,0
2020-11,avtobus,9,9,0,0,0,0,0,0,0
2020-11,osebni avtomobil,4896,2364,130,2016,204,334,147,35,479
2020-11,tovorno vozilo,941,919,0,16,0,0,2,4,1
2020-11,traktor,177,158,1,18,0,1,0,0,1
2020-11,vlečno vozilo,208,205,0,0,0,0,0,3,0
2020-12,avtobus,6,6,0,0,0,0,0,0,0
2020-12,osebni avtomobil,3796,1993,61,1240,203,264,288,11,552
2020-12,tovorno vozilo,934,897,4,17,0,4,12,4,15
2020-12,traktor,184,166,0,18,0,0,0,0,0
2020-12,vlečno vozilo,190,187,0,0,0,0,0,3,0
2021-01,avtobus,35,35,0,0,0,0,0,0,0
2021-01,osebni avtomobil,6079,2858,194,2640,288,482,69,30,550
2021-01,tovorno vozilo,1165,1151,6,3,0,6,1,4,7
2021-01,traktor,265,227,0,38,0,0,0,0,0
2021-01,vlečno vozilo,263,260,0,0,0,0,0,3,0
2021-02,avtobus,5,5,0,0,0,0,0,0,0
2021-02,osebni avtomobil,7648,3559,157,3311,431,588,131,59,716
2021-02,tovorno vozilo,1106,1087,3,10,0,3,2,4,5
2021-02,traktor,281,256,0,25,0,0,0,0,0
2021-02,vlečno vozilo,221,215,0,0,0,0,0,6,0
2021-03,avtobus,2,2,0,0,0,0,0,0,0
2021-03,osebni avtomobil,11228,5360,268,4611,727,995,196,66,1190
2021-03,tovorno vozilo,1463,1410,9,15,1,10,21,7,30
2021-03,traktor,564,506,1,57,0,1,0,0,1
2021-03,vlečno vozilo,262,261,0,0,0,0,0,1,0
2021-04,avtobus,2,2,0,0,0,0,0,0,0
2021-04,osebni avtomobil,6834,3202,155,2831,464,619,130,52,749
2021-04,tovorno vozilo,998,978,6,13,0,6,0,1,6
2021-04,traktor,437,395,0,42,0,0,0,0,0
2021-04,vlečno vozilo,201,197,0,0,0,0,0,4,0
2021-05,avtobus,6,6,0,0,0,0,0,0,0
2021-05,osebni avtomobil,8644,3969,275,3514,694,972,147,45,1119
2021-05,tovorno vozilo,1084,1059,6,13,0,6,5,1,11
2021-05,traktor,518,451,0,66,0,0,1,0,1
2021-05,vlečno vozilo,243,241,0,0,0,0,0,2,0
2021-06,avtobus,7,7,0,0,0,0,0,0,0
2021-06,osebni avtomobil,8595,4098,239,3369,644,883,168,77,1051
2021-06,tovorno vozilo,941,923,4,11,0,4,1,2,5
2021-06,traktor,334,286,0,47,0,0,1,0,0
2021-06,vlečno vozilo,250,245,0,0,0,0,0,5,0
2021-07,avtobus,5,5,0,0,0,0,0,0,0
2021-07,osebni avtomobil,7913,3770,208,3174,544,752,128,89,878
2021-07,tovorno vozilo,926,900,1,21,0,1,3,1,4
2021-07,traktor,326,243,0,83,0,0,0,0,0
2021-07,vlečno vozilo,189,186,0,0,0,0,0,3,0
2021-08,avtobus,11,11,0,0,0,0,0,0,0
2021-08,osebni avtomobil,6391,2984,160,2502,525,685,184,36,866
2021-08,tovorno vozilo,867,850,1,13,0,1,1,2,2
2021-08,traktor,219,178,0,41,0,0,0,0,0
2021-08,vlečno vozilo,151,149,0,0,0,0,0,2,0
2021-09,avtobus,19,19,0,0,0,0,0,0,0
2021-09,osebni avtomobil,6992,2979,239,2929,587,826,206,52,1032
2021-09,tovorno vozilo,959,934,4,12,1,5,3,5,8
2021-09,traktor,291,244,0,47,0,0,0,0,0
2021-09,vlečno vozilo,220,214,0,0,0,0,0,6,0
2021-10,avtobus,10,10,0,0,0,0,0,0,0
2021-10,osebni avtomobil,7250,3088,229,3046,576,805,271,40,1069
2021-10,tovorno vozilo,987,928,2,19,2,4,24,12,28
2021-10,traktor,285,261,0,24,0,0,0,0,0
2021-10,vlečno vozilo,198,193,0,0,0,0,0,5,0
2021-11,avtobus,30,30,0,0,0,0,0,0,0
2021-11,osebni avtomobil,6770,2723,238,2764,714,952,274,57,1226
2021-11,tovorno vozilo,1125,1094,3,14,3,6,6,5,12
2021-11,traktor,243,222,0,21,0,0,0,0,0
2021-11,vlečno vozilo,210,210,0,0,0,0,0,0,0
2021-12,avtobus,10,10,0,0,0,0,0,0,0
2021-12,osebni avtomobil,4969,2276,147,1842,475,622,161,68,783
2021-12,tovorno vozilo,936,895,5,25,4,9,6,1,15
2021-12,traktor,268,237,0,31,0,0,0,0,0
2021-12,vlečno vozilo,167,167,0,0,0,0,0,0,0
2022-01,avtobus,9,9,0,0,0,0,0,0,0
2022-01,osebni avtomobil,6580,2442,271,2906,691,962,190,80,1152
2022-01,tovorno vozilo,1004,972,10,16,2,12,1,3,13
2022-01,traktor,233,194,0,39,0,0,0,0,0
2022-01,vlečno vozilo,269,268,1,0,0,1,0,0,1
2022-02,avtobus,17,17,0,0,0,0,0,0,0
2022-02,osebni avtomobil,6193,2386,152,2911,526,678,168,50,846
2022-02,tovorno vozilo,1039,993,13,22,1,14,4,6,18
2022-02,traktor,284,242,0,42,0,0,0,0,0
2022-02,vlečno vozilo,245,241,0,0,0,0,0,4,0
2022-03,avtobus,6,6,0,0,0,0,0,0,0
2022-03,osebni avtomobil,7407,2770,192,3297,768,960,318,62,1278
2022-03,tovorno vozilo,1055,1012,18,16,0,18,2,7,20
2022-03,traktor,491,424,0,66,0,0,1,0,1
2022-03,vlečno vozilo,247,246,0,0,0,0,0,1,0
2022-04,avtobus,28,28,0,0,0,0,0,0,0
2022-04,osebni avtomobil,6559,2637,161,2896,637,798,164,64,961
2022-04,tovorno vozilo,821,803,1,11,1,2,3,2,5
2022-04,traktor,477,418,0,59,0,0,0,0,0
2022-04,vlečno vozilo,232,232,0,0,0,0,0,0,0
2022-05,avtobus,33,23,0,0,0,10,0,10,10
2022-05,osebni avtomobil,7765,3045,203,3378,861,1064,206,72,1270
2022-05,tovorno vozilo,926,898,1,13,0,1,13,1,14
2022-05,traktor,497,446,0,51,0,0,0,0,0
2022-05,vlečno vozilo,289,289,0,0,0,0,0,0,0
2022-06,avtobus,24,22,0,0,0,0,2,0,2
2022-06,osebni avtomobil,7604,3228,202,2955,807,1009,288,124,1296
2022-06,tovorno vozilo,826,799,5,12,0,5,6,4,11
2022-06,traktor,401,330,0,71,0,0,0,0,0
2022-06,vlečno vozilo,230,230,0,0,0,0,0,0,0
2022-07,avtobus,12,11,0,0,0,0,1,0,1
2022-07,osebni avtomobil,6757,2921,202,2826,561,764,174,73,937
2022-07,tovorno vozilo,634,606,9,9,0,9,9,1,18
2022-07,traktor,287,207,0,80,0,0,0,0,0
2022-07,vlečno vozilo,222,222,0,0,0,0,0,0,0
2022-08,avtobus,18,18,0,0,0,0,0,0,0
2022-08,osebni avtomobil,6044,2473,189,2444,659,849,192,87,1039
2022-08,tovorno vozilo,694,669,6,14,0,6,5,0,11
2022-08,traktor,247,188,0,59,0,0,0,0,0
2022-08,vlečno vozilo,232,232,0,0,0,0,0,0,0
2022-09,avtobus,20,19,0,0,0,0,1,0,1
2022-09,osebni avtomobil,6632,2699,212,2574,775,987,316,56,1301
2022-09,tovorno vozilo,784,749,1,27,0,1,6,1,7
2022-09,traktor,331,278,0,53,0,0,0,0,0
2022-09,vlečno vozilo,269,269,0,0,0,0,0,0,0
2022-10,avtobus,71,71,0,0,0,0,0,0,0
2022-10,osebni avtomobil,6196,2593,226,2447,656,883,242,32,1124
2022-10,tovorno vozilo,782,758,2,11,0,2,5,6,7
2022-10,traktor,237,203,0,34,0,0,0,0,0
2022-10,vlečno vozilo,236,236,0,0,0,0,0,0,0
2022-11,avtobus,15,15,0,0,0,0,0,0,0
2022-11,osebni avtomobil,6284,2575,210,2504,686,896,262,47,1158
2022-11,tovorno vozilo,929,905,1,15,0,1,7,1,8
2022-11,traktor,261,216,0,44,0,0,1,0,1
2022-11,vlečno vozilo,233,233,0,0,0,0,0,0,0
2022-12,avtobus,29,29,0,0,0,0,0,0,0
2022-12,osebni avtomobil,5335,2442,222,1827,515,737,277,52,1013
2022-12,tovorno vozilo,803,762,5,23,1,6,10,2,16
2022-12,traktor,208,174,0,34,0,0,0,0,0
2022-12,vlečno vozilo,155,155,0,0,0,0,0,0,0
2023-01,avtobus,13,13,0,0,0,0,0,0,0
2023-01,osebni avtomobil,7237,2650,321,2879,945,1266,367,75,1633
2023-01,tovorno vozilo,912,878,3,24,0,3,6,1,9
2023-01,traktor,224,192,0,32,0,0,0,0,0
2023-01,vlečno vozilo,309,309,0,0,0,0,0,0,0
2023-02,avtobus,38,37,0,0,0,0,1,0,1
2023-02,osebni avtomobil,6861,2771,290,2654,750,1040,315,81,1354
2023-02,tovorno vozilo,951,922,2,18,0,2,7,2,9
2023-02,traktor,237,185,0,52,0,0,0,0,0
2023-02,vlečno vozilo,249,249,0,0,0,0,0,0,0
2023-03,avtobus,28,28,0,0,0,0,0,0,0
2023-03,osebni avtomobil,9139,3570,355,3462,1050,1405,645,57,2050
2023-03,tovorno vozilo,1178,1136,0,27,0,0,11,4,11
2023-03,traktor,492,406,0,86,0,0,0,0,0
2023-03,vlečno vozilo,275,275,0,0,0,0,0,0,0
2023-04,avtobus,41,41,0,0,0,0,0,0,0
2023-04,osebni avtomobil,7436,2983,297,2867,871,1168,357,61,1524
2023-04,tovorno vozilo,827,800,0,17,0,0,7,3,7
2023-04,traktor,494,408,0,86,0,0,0,0,0
2023-04,vlečno vozilo,194,193,0,0,0,0,1,0,1
2023-05,avtobus,35,31,0,0,0,0,4,0,4
2023-05,osebni avtomobil,8211,3173,330,3213,1019,1349,442,34,1790
2023-05,tovorno vozilo,959,920,1,23,1,2,11,3,12
2023-05,traktor,466,388,0,78,0,0,0,0,0
2023-05,vlečno vozilo,240,240,0,0,0,0,0,0,0
2023-06,avtobus,18,16,0,0,0,0,2,0,2
2023-06,osebni avtomobil,8297,3304,382,3210,957,1339,388,56,1727
2023-06,tovorno vozilo,1061,1018,0,29,0,0,11,3,11
2023-06,traktor,366,278,0,88,0,0,0,0,0
2023-06,vlečno vozilo,260,260,0,0,0,0,0,0,0
2023-07,avtobus,16,16,0,0,0,0,0,0,0
2023-07,osebni avtomobil,6975,2947,311,2482,804,1115,354,77,1469
2023-07,tovorno vozilo,797,756,0,19,0,0,22,0,22
2023-07,traktor,286,210,0,76,0,0,0,0,0
2023-07,vlečno vozilo,185,185,0,0,0,0,0,0,0
2023-08,avtobus,16,16,0,0,0,0,0,0,0
2023-08,osebni avtomobil,6202,2520,288,2246,655,943,453,40,1396
2023-08,tovorno vozilo,831,801,5,16,0,5,8,1,13
2023-08,traktor,228,156,0,71,0,0,1,0,1
2023-08,vlečno vozilo,195,195,0,0,0,0,0,0,0
2023-09,avtobus,21,18,0,0,0,0,3,0,3
2023-09,osebni avtomobil,7329,2711,318,2789,1025,1343,429,57,1770
2023-09,tovorno vozilo,1030,996,3,23,0,3,6,2,9
2023-09,traktor,329,243,0,85,0,0,0,1,0
2023-09,vlečno vozilo,241,240,0,0,0,0,0,1,0
2023-10,avtobus,37,35,0,0,0,0,2,0,2
2023-10,osebni avtomobil,7299,2833,355,2682,908,1263,482,39,1745
2023-10,tovorno vozilo,978,937,5,17,0,5,18,1,23
2023-10,traktor,304,212,0,92,0,0,0,0,0
2023-10,vlečno vozilo,232,232,0,0,0,0,0,0,0
2023-11,avtobus,13,11,0,0,0,0,2,0,2
2023-11,osebni avtomobil,7334,2750,358,2707,968,1327,518,33,1845
2023-11,tovorno vozilo,1131,1096,1,18,0,1,15,1,16
2023-11,traktor,226,181,0,45,0,0,0,0,0
2023-11,vlečno vozilo,233,233,0,0,0,0,0,0,0
2023-12,avtobus,14,10,0,0,0,0,4,0,4
2023-12,osebni avtomobil,5894,2367,324,2060,682,1006,431,30,1437
2023-12,tovorno vozilo,946,919,0,12,0,0,11,4,10
2023-12,traktor,196,153,0,43,0,0,0,0,0
2023-12,vlečno vozilo,111,111,0,0,0,0,0,0,0
